County,Week of,Race,People Metric
Alamance,12/14/2020,American Indian or Alaskan Native,
Alamance,12/21/2020,American Indian or Alaskan Native,2
Alamance,12/28/2020,American Indian or Alaskan Native,5
Alamance,1/4/2021,American Indian or Alaskan Native,9
Alamance,1/11/2021,American Indian or Alaskan Native,11
Alamance,1/18/2021,American Indian or Alaskan Native,10
Alamance,1/25/2021,American Indian or Alaskan Native,8
Alamance,2/1/2021,American Indian or Alaskan Native,5
Alamance,2/8/2021,American Indian or Alaskan Native,11
Alamance,2/15/2021,American Indian or Alaskan Native,6
Alamance,2/22/2021,American Indian or Alaskan Native,14
Alamance,3/1/2021,American Indian or Alaskan Native,8
Alamance,3/8/2021,American Indian or Alaskan Native,10
Alamance,12/14/2020,Asian or Pacific Islander,7
Alamance,12/21/2020,Asian or Pacific Islander,22
Alamance,12/28/2020,Asian or Pacific Islander,20
Alamance,1/4/2021,Asian or Pacific Islander,28
Alamance,1/11/2021,Asian or Pacific Islander,23
Alamance,1/18/2021,Asian or Pacific Islander,37
Alamance,1/25/2021,Asian or Pacific Islander,50
Alamance,2/1/2021,Asian or Pacific Islander,44
Alamance,2/8/2021,Asian or Pacific Islander,52
Alamance,2/15/2021,Asian or Pacific Islander,39
Alamance,2/22/2021,Asian or Pacific Islander,50
Alamance,3/1/2021,Asian or Pacific Islander,61
Alamance,3/8/2021,Asian or Pacific Islander,64
Alamance,12/14/2020,Black or African-American,10
Alamance,12/21/2020,Black or African-American,79
Alamance,12/28/2020,Black or African-American,156
Alamance,1/4/2021,Black or African-American,236
Alamance,1/11/2021,Black or African-American,213
Alamance,1/18/2021,Black or African-American,469
Alamance,1/25/2021,Black or African-American,465
Alamance,2/1/2021,Black or African-American,658
Alamance,2/8/2021,Black or African-American,816
Alamance,2/15/2021,Black or African-American,355
Alamance,2/22/2021,Black or African-American,938
Alamance,3/1/2021,Black or African-American,699
Alamance,3/8/2021,Black or African-American,365
Alamance,12/14/2020,White,85
Alamance,12/21/2020,White,457
Alamance,12/28/2020,White,817
Alamance,1/4/2021,White,"1,841"
Alamance,1/11/2021,White,"1,648"
Alamance,1/18/2021,White,"2,571"
Alamance,1/25/2021,White,"1,855"
Alamance,2/1/2021,White,"1,819"
Alamance,2/8/2021,White,"2,609"
Alamance,2/15/2021,White,"1,788"
Alamance,2/22/2021,White,"2,897"
Alamance,3/1/2021,White,"2,378"
Alamance,3/8/2021,White,"1,432"
Alamance,12/14/2020,Other,5
Alamance,12/21/2020,Other,28
Alamance,12/28/2020,Other,49
Alamance,1/4/2021,Other,46
Alamance,1/11/2021,Other,38
