County,People at Least Partially Vaccinated,People Fully Vaccinated,Population
Alamance,30008,18016,175499
Alexander,6393,3638,37829
Alleghany,2656,1849,11135
Anson,4118,2593,24398
Ashe,5611,3003,27411
Avery,3871,2624,17615
Beaufort,11180,7215,46870
Bertie,4659,2503,18629
Bladen,6352,4009,31864
Brunswick,36769,23264,154700
Buncombe,46089,28436,265055
Burke,17092,10514,90645
Cabarrus,27831,16732,226165
Caldwell,14548,10182,82482
Camden,2207,1144,11249
Carteret,15833,8664,69543
Caswell,4779,2643,22544
Catawba,27994,16965,161279
Chatham,18035,12665,77156
Cherokee,5183,2951,29098
Chowan,4018,2458,13699
Clay,2049,1136,11445
Cleveland,18135,8929,98803
Columbus,8317,4716,54886
Craven,20522,11561,101741
Cumberland,43281,28930,339667
Currituck,5151,3408,29257
Dare,10211,7402,37813
Davidson,23265,14517,170111
Davie,7931,6826,43412
Duplin,7970,4505,58241
Durham,65948,44837,330506
Edgecombe,7665,4502,50448
Forsyth,65358,42296,388453
Franklin,10513,6629,73805
Gaston,33607,20562,228327
Gates,2392,1222,11560
Graham,1850,1139,8401
Granville,11918,7097,61371
Greene,3505,2639,20995
Guilford,88724,50208,546308
Halifax,10488,5273,48762
Harnett,17375,10553,139256
Haywood,12185,8748,63171
Henderson,20983,14117,119251
Hertford,4853,2216,23275
Hoke,5460,3372,56312
Hyde,1587,965,4759
Iredell,26782,16651,188754
Jackson,8787,3242,44614
Johnston,32128,17919,222633
Jones,2002,1024,9031
Lee,11054,6380,62921
Lenoir,10647,6974,55867
Lincoln,13483,7703,90149
Macon,8289,4692,37026
Madison,4303,3271,21935
Martin,4790,2987,22000
Mcdowell,8621,5636,46338
Mecklenburg,148496,88401,1143570
Mitchell,2512,1346,14900
Montgomery,4968,3017,27365
Moore,25949,15488,105030
Nash,17389,8894,94706
New Hanover,47261,32905,238907
Northampton,4644,2276,19053
Onslow,19817,11614,199984
Orange,36089,25403,149468
Pamlico,3656,2179,12912
Pasquotank,10040,6792,40306
Pender,10219,6578,65146
Perquimans,3399,1500,13627
Person,7498,4580,39598
Pitt,32464,25185,183076
Polk,4059,2393,20836
Randolph,19274,10946,144503
Richmond,8602,5485,44711
Robeson,17571,10845,128107
Rockingham,15981,7179,91796
Rowan,18077,12380,144008
Rutherford,10287,5407,67537
Sampson,11019,6465,63903
Scotland,6168,4165,34967
Stanly,9485,5528,64058
Stokes,6667,4482,45751
Surry,13979,9058,71431
Swain,2733,1459,14315
Transylvania,6457,4553,34809
Tyrrell,901,568,3818
Union,34406,19789,247917
Vance,8914,5023,44335
Wake,199827,116629,1152740
Warren,4188,1977,19555
Washington,2410,1509,11202
Watauga,11327,7337,56463
Wayne,17624,8360,122919
Wilkes,11428,6229,68110
Wilson,13567,7821,82619
Yadkin,6713,4300,38039
Yancey,3821,2184,18461
